"Next plague outbreak in Madagascar could be 'stronger': WHO
",-1
"An outbreak of both bubonic plague, which is spread by infected rats via flea bites, and pneumonic plague, spread person to person, has killed more than 200 people in the Indian Ocean island nation since August.
",-1
"Madagascar has suffered bubonic plague outbreaks almost every year since 1980, often caused by rats fleeing forest fires.
",-1
"The disease tends to make a comeback each hot rainy season, from September to April.
",-1
"On average, between 300 and 600 infections are recorded every year among a population approaching 25 million people, according to a UN estimate.
",-1
"Cases sprang up far earlier than usual and, instead of being confined to the countryside, the disease infiltrated towns.
",-1
"The authorities recorded more than 2 000 cases, and Tedros said Wednesday the death toll stood at 207.
",-1
"The larger-than-usual outbreak had helped spread the bacteria that causes the plague more widely.
",-1
"Complicating vector control is the fact that the fleas that carry the Yersinia pestis bacteria that causes the plague have proven to be widely resistant to chemicals and insecticides.
",-1
"""That's a dangerous combination,"" Tedros said.
",-1
"US bloggers banned from entering UK
",-1
"Two prominent US bloggers have been banned from entering the UK, the Home Office has said.
",-1
"Pamela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America.
",-1
"They were due to speak at an English Defence League march in Woolwich, where Drummer Lee Rigby was killed.
",-1
"A government spokesman said individuals whose presence ""is not conducive to the public good"" could be excluded by the home secretary.
",-1
"'Right decision'
",-1
"They were due to attend a march planned by the far-right EDL to mark Armed Forces Day on 29 June, ending in Woolwich, south east London, where soldier Drummer Rigby was murdered last month.
",-1
"Keith Vaz, chairman of the Home Affairs Select Committee, who had called for the bloggers to be banned from the UK, said: ""I welcome the home secretary's ban on Pamela Geller and Robert Spencer from entering the country.
",-1
"This is the right decision.
",-1
"The UK should never become a stage for inflammatory speakers who promote hate.""
",-1
"EDL leader Tommy Robinson, meanwhile, criticised the decision and said Ms Geller and Mr Spencer were coming to the UK to lay flowers at the place where Drummer Rigby died.
",-1
"It just shows what sort of a two-tier system we have here.""
",-1
"'Foster hatred'
",-1
"Anti-fascism campaigners Hope Not Hate had campaigned for the pair to not be allowed into the UK.
",-1
"A researcher with the organisation, Matthew Collins, said it was ""delighted"" with the decision.
",-1
"""These two are among some of the most extreme anti-Muslim activists in the world.
",-1
"They've nothing to contribute to life in this country.
",-1
"""They're not here to contribute to good community relations.
",-1
"They only wanted to come here and help the EDL stir up more trouble.
",-1
"Britain doesn't need more hate even just for a few days.""
",-1
"Mr Spencer put up a copy of what appears to be the exclusion decision from the Home Office on the Jihad Watch website, while Ms Geller posted a copy of her letter on her website, Atlas Shrugs.
",-1
"The letters, both dated Tuesday, claim that both activists have fallen within the scope of a list of unacceptable behaviours by making statements which may ""foster hatred"" and lead to ""inter-community violence"" in the UK.
",-1
"Both letters gave examples of anti-Muslim views stated by both and went on to say that should they be allowed to enter the UK the home secretary believes they would ""continue to espouse such views"".
",-1
"Kate Steinle's death at the hands of a Mexican national became a flashpoint in the immigration debate — here's the story behind her killing
",-1
"Garcia Zarate, a 45-year-old Mexican national who was homeless and living in the US illegally when he fired the shot that killed Steinle, was acquitted by a jury on murder and manslaughter charges.
",-1
"The jury convicted him of the lesser charge of being a felon in possession of a gun, which carries a maximum sentence of three years in state prison.
",-1
"Steinle, 32, was fatally shot while she walked along Pier 14 of the San Francisco Bay with her father in July 2015.
",-1
"The bullet that pierced her back had ricocheted off the concrete ground after it was fired by Garcia Zarate from a handgun belonging to a federal ranger that had been stolen four days earlier.
",-1
"Garcia Zarate's defense attorneys argued that the shooting was an accident — they said he found the gun wrapped in a T-shirt or cloth under a pier bench and unintentionally discharged it.
",-1
"Gonzalez told the jury, according to the San Francisco Chronicle, that Garcia Zarate had never handled a firearm before, was frightened by the noise of the gunshot, then flung the weapon into the bay where it was later found by a diver.
",-1
"Prosecutors, however, alleged that Garcia Zarate brought the weapon to the pier deliberately to do harm, and intentionally aimed and shot Steinle after firmly pulling the trigger.
",-1
"They said Garcia Zarate then threw the weapon into the bay and fled the scene.
",-1
"Beyond the shooting itself, perhaps the most controversial aspect of Garcia Zarate's case involves his previous criminal activity and history of deportations, and how San Francisco and federal authorities handled his custody before he ever picked up the gun and shot Steinle.
",-1
"At the time of Steinle's death, Garcia Zarate had been convicted of nonviolent drug crimes and deported five times since the early 1990s.
",-1
"He faced a sixth deportation in 2015, and was in Justice Department (DOJ) custody that March after serving 46 months in prison for a felony re-entry into the US, but instead of transferring him into the custody of Immigration and Customs Enforcement (ICE) for deportation, the department transferred him to the San Francisco County Jail for prosecution of a 1995 marijuana charge.
",-1
"San Francisco prosecutors, who had long ago deprioritized marijuana charges, dismissed the decades-old charge and released Garcia Zarate on April 15, 2015.
",-1
"As a result of the case, both the DOJ and the city of San Francisco have changed several policies.
",-1
"The DOJ announced in 2016 it would no longer release potentially deportable detainees to local jails without first allowing ICE to take custody.
",-1
"San Francisco, meanwhile, has adjusted its policy to notify ICE if they are releasing suspected undocumented immigrants who face charges of serious or violent felonies.
",-1
